,Date,End Score Diff,Map,Match ID,Team 1 ID,Team 2 ID,Winner,Recent Matches Score Difference,Past Encounters Score Difference,Common Opponents Average Score difference,Map Score Difference,Winner(predicted),Predicted Probability 0,Predicted Probability 1
38931,2018-02-01 00:00:00,2,Overpass,2318953,4602,6896,1,-0.31795420757281845,0.14587898657868995,0.208719726488581,0.5340888167239671,1,0.4182785512428422,0.5817214487571578
38936,2018-02-02 00:00:00,-4,Cobblestone,2318972,6419,6417,0,1.882333865565095,-0.22135981615438707,-0.053833896449396276,-0.9522440968144187,1,0.4276672650418556,0.5723327349581444
38940,2018-02-04 00:00:00,11,Mirage,2319003,5752,7726,1,1.5438280081592624,0.6159446540770285,2.1404078784454255,-0.1951174167153776,1,0.21812172554592157,0.7818782744540784
38941,2018-02-02 00:00:00,10,Inferno,2318846,6707,5479,1,-0.06407481451844384,-0.3143936461800999,-0.42861820896872066,-0.5201230067400564,0,0.5274502887045496,0.4725497112954504
38942,2018-02-02 00:00:00,-10,Inferno,2318895,7314,7653,0,-2.9413746024680227,-2.7332732268486337,-2.0549885498129012,-0.9099612804738093,0,0.8654555058684449,0.13454449413155514
38946,2018-02-03 00:00:00,5,Cobblestone,2319056,6301,7726,1,1.4592015438078036,2.2905535945398596,-0.385971754822928,-1.1138455455682554,1,0.2997660949982376,0.7002339050017624
38949,2018-02-02 00:00:00,-10,Inferno,2318916,8564,8565,0,-2.2643628876563575,-1.430799606488654,-1.9326205914787797,-1.4596378929017342,0,0.8019919658718294,0.19800803412817058
38950,2018-02-02 00:00:00,-3,Cache,2318945,5479,7726,0,1.2053221507534295,0.24380933397417714,0.481334910222411,-0.3511775999109833,1,0.3611680132694346,0.6388319867305654
38952,2018-02-02 00:00:00,8,Mirage,2318970,6417,6420,1,0.10517811418447266,0.01122475890989506,-0.01973820141202069,0.4653730294160204,1,0.43112841425974047,0.5688715857402595
38954,2018-02-03 00:00:00,-10,Cache,2319011,7787,7489,0,-0.9949659223844841,-0.8725966263343768,-1.1740610089697505,-0.6731775089663953,0,0.6641145329878986,0.3358854670121014
38960,2018-02-03 00:00:00,-10,Train,2318949,6774,7092,0,-0.7410865293301094,-0.6865289662829512,-0.2326244582300394,-0.12738634452652614,0,0.5537887114775519,0.4462112885224481
38961,2018-02-03 00:00:00,-3,Cobblestone,2318949,6774,7092,0,-1.5027247084932334,-1.012147371372946,-0.2326244582300394,0.4299665890786134,0,0.5892097198573665,0.4107902801426336
38962,2018-02-02 00:00:00,3,Cobblestone,2318896,6947,6366,1,-0.06407481451844384,1.7323506143855825,-0.03832715432095623,0.11159156231531946,1,0.32945134060459746,0.6705486593954025
38967,2018-02-03 00:00:00,2,Train,2318987,4991,6978,1,0.69756336464468,1.546282954334157,1.1409029742297196,-0.1295095072816091,1,0.2470754696784272,0.7529245303215728
38968,2018-02-02 00:00:00,3,Cache,2318837,4674,7367,1,1.7130809368621787,0.98807997417988,0.7167198163367089,0.22216537230869815,1,0.26366092413748043,0.7363390758625196
38969,2018-02-02 00:00:00,-14,Nuke,2318837,4674,7367,0,1.9669603299165532,0.8485292291413107,0.7167198163367089,0.48875428407355737,1,0.25678238547156607,0.7432176145284339
38970,2018-02-02 00:00:00,-4,Inferno,2318837,4674,7367,0,-0.2333277432213601,0.13216873794332173,0.7167198163367089,0.44091996322894084,1,0.3809252808566389,0.6190747191433611
38976,2018-02-03 00:00:00,15,Cobblestone,2319025,4494,7532,1,0.5283104359417633,0.9508664421695948,0.0509319304483455,0.026816154421247573,1,0.356829908879705,0.643170091120295
